iter	RMSE
0	111611.3858
1	107827.305
2	104484.9333
3	101290.1337
4	98219.07968
5	95543.65282
6	93098.2856
7	90665.56594
8	88582.17493
9	86695.02759
10	84705.69295
11	83125.9064
12	81669.35797
13	80307.83993
14	78900.64225
15	77607.40372
16	76529.0943
17	75552.44287
18	74527.48497
19	73737.07455
20	72956.98972
21	72073.82995
22	71420.10262
23	70838.77772
24	70235.88201
25	69682.09145
26	69161.02938
27	68650.49053
28	68027.61667
29	67547.16748
30	67120.36025
31	66706.21114
32	66319.17019
33	65885.49677
34	65342.73909
35	64920.45105
36	64583.73323
37	64295.10233
38	64088.03025
39	63749.28887
40	63532.40029
41	63287.48004
42	63083.31779
43	62799.11267
44	62506.08786
45	62155.57764
46	61937.66489
47	61685.06388
48	61372.5475
49	61153.49827
50	60912.41966
51	60716.39547
52	60529.15048
53	60307.67184
54	60160.5701
55	59967.25222
56	59777.86152
57	59581.5006
58	59406.39677
59	59292.22632
60	59138.50178
61	58934.29541
62	58763.23263
63	58612.5002
64	58484.23061
65	58309.84509
66	58206.1657
67	58056.45255
68	57797.60038
69	57684.20932
70	57427.65798
71	57256.01931
72	57143.8175
73	56982.03544
74	56854.59336
75	56743.82893
76	56607.27201
77	56459.45254
78	56376.29456
79	56175.45308
80	56015.10205
81	55885.58766
82	55771.98071
83	55560.87197
84	55458.41703
85	55350.5475
86	55262.03503
87	55142.62494
88	55090.96095
89	55000.43047
90	54899.84997
91	54813.12144
92	54734.22223
93	54654.79026
94	54543.12057
95	54458.31909
96	54413.8711
97	54308.55437
98	54229.20879
99	54175.92847
100	54111.44338
101	54081.51127
102	54013.75602
103	53947.11087
104	53851.3048
105	53710.23316
106	53632.79133
107	53584.74009
108	53487.58413
109	53421.41815
110	53357.74746
111	53276.94442
112	53245.04567
113	53123.40382
114	53055.76734
115	52946.04139
116	52892.21755
117	52817.65686
118	52713.33674
119	52595.4417
120	52508.42594
121	52459.32005
122	52373.27373
123	52324.40084
124	52254.16416
125	52216.88677
126	52145.95366
127	52066.35173
128	51984.60494
129	51939.59358
130	51897.75675
131	51822.10891
132	51741.67792
133	51669.15323
134	51614.65515
135	51551.86889
136	51499.96141
137	51452.32697
138	51382.71631
139	51299.7239
140	51237.24773
141	51186.64626
142	51119.23199
143	51071.45873
144	51032.20521
145	50979.85916
146	50922.99415
147	50881.49086
148	50803.72338
149	50728.36769
150	50675.21185
151	50636.27776
152	50580.2719
153	50498.31119
154	50408.17007
155	50350.24356
156	50305.80292
157	50255.06432
158	50225.75758
159	50166.2497
160	50111.39826
161	50068.82289
162	50013.42156
163	49949.79393
164	49878.46932
165	49847.70464
166	49818.03164
167	49781.48933
168	49727.45502
169	49672.68546
170	49626.1558
171	49580.62561
172	49518.47039
173	49470.07572
174	49411.62839
175	49373.335
176	49321.46412
177	49288.50155
178	49248.57685
179	49197.8482
180	49117.31846
181	49006.68561
182	48939.80039
183	48904.51518
184	48849.35021
185	48799.16631
186	48759.41751
187	48712.65068
188	48655.81568
189	48621.44099
190	48549.22253
191	48492.843
192	48458.71392
193	48421.4307
194	48377.05441
195	48342.50999
196	48298.30787
197	48276.81959
198	48254.24964
199	48222.11841
200	48181.9591
201	48131.78018
202	48075.11817
203	48038.6002
204	47996.62326
205	47966.50554
206	47941.23142
207	47911.24582
208	47883.55385
209	47827.33594
210	47783.71784
211	47746.97364
212	47721.24639
213	47695.23448
214	47662.33376
215	47623.16255
216	47552.6435
217	47500.77977
218	47409.05795
219	47379.63989
220	47348.81606
221	47305.36917
222	47275.15063
223	47243.75219
