iter	Passed	Remaining
0	14	14111
1	21	10606
2	34	11340
3	40	10171
4	47	9451
5	63	10492
6	77	10992
7	96	11988
8	115	12724
9	127	12587
10	140	12590
11	172	14200
12	187	14217
13	194	13726
14	204	13416
15	213	13111
16	226	13115
17	244	13328
18	259	13391
19	278	13640
20	285	13303
21	302	13466
22	314	13346
23	319	13012
24	332	12973
25	347	13015
26	353	12756
27	372	12947
28	382	12811
29	387	12521
30	394	12334
31	414	12531
32	440	12896
33	453	12895
34	462	12754
35	471	12636
36	476	12400
37	487	12350
38	496	12222
39	512	12300
40	520	12185
41	532	12139
42	542	12070
43	554	12052
44	570	12114
45	583	12102
46	593	12028
47	609	12094
48	621	12063
49	637	12108
50	651	12129
51	664	12113
52	674	12057
53	690	12096
54	697	11991
55	710	11974
56	713	11808
57	726	11799
58	737	11756
59	743	11642
60	750	11557
61	763	11557
62	784	11661
63	805	11775
64	819	11784
65	852	12062
66	860	11981
67	877	12029
68	885	11944
69	905	12025
70	917	11998
71	935	12055
72	960	12195
73	965	12080
74	987	12178
75	1002	12193
76	1020	12228
77	1038	12270
78	1043	12159
79	1053	12112
80	1061	12042
81	1085	12153
82	1101	12173
83	1108	12087
84	1116	12018
85	1127	11978
86	1141	11983
87	1147	11896
88	1161	11891
89	1167	11804
90	1179	11786
91	1189	11737
92	1198	11689
93	1212	11681
94	1229	11716
95	1247	11747
96	1258	11720
97	1267	11670
98	1274	11596
99	1281	11536
100	1292	11506
101	1303	11480
102	1319	11492
103	1338	11533
104	1352	11526
105	1358	11461
106	1372	11451
107	1389	11472
108	1400	11451
109	1411	11420
110	1424	11409
111	1447	11477
112	1461	11471
113	1488	11570
114	1498	11528
115	1503	11459
116	1519	11469
117	1536	11483
118	1548	11466
119	1559	11435
120	1586	11522
121	1605	11554
122	1619	11549
123	1627	11494
124	1642	11496
125	1649	11440
126	1655	11383
127	1667	11360
128	1681	11351
129	1694	11337
130	1707	11329
131	1721	11319
132	1730	11279
133	1741	11257
134	1761	11284
135	1778	11301
